1e-5, 0, 2.1139797241589522e-09
2.5e-5, 6.35e-05, 1.3078369989328611e-08
5e-5, 4.232856191531371e-05, 5.225693347531518e-08
1e-4, 4.232856191531371e-05, 2.0901554763197538e-07
2.5e-4, 0.0001693142476552438, 1.3062961940841435e-06
5e-4 , 0.000888899800268185, 5.225163582880758e-06
7.5e-4, 0.0012275282955788844, 1.1756618756093604e-05
1e-3,  0.001227528295561802, 2.0900666428229875e-05
2.5e-3, 0.0012275282955788844, 0.00013063003700934905
5e-3, 0.0012275282955788844, 0.0005225325355726003
7.5e-3, 0.0012275282955788844, 0.0011757445123023878
1e-2, 0.022391809253932735, 0.0020903308794800886
2.5e-2, 0.001227528295561802, 0.013073249071058985
5e-2, 0.10459387649627365, 0.05241902806365362
0.07, 0.14692243841300962, 0.1030636785326042
7.5e-2, 0.3162366860799533, 0.11840421671894012
0.08, 0.4432223718301775, 0.13488244474775501
0.09, 0.5702080575803946, 0.17105827012119018
0.1, 0.5278794956636584, 0.2117091980203083
0.25, 2.221021972333206, 1.4519014350681165
0.3, 3.617864515585583, 2.231818908976981
