0.0    [0.59884 0.      0.     ]    [-0.59884 -0.      -0.     ]    -9.319667658569475
0.09 [0.60334 0.      0.     ]   [-0.60334 -0.      -0.     ] -9.262966382326404
0.18 [0.60200446 0.         0.        ]   [-0.60200446  0.          0.        ] -9.20590797525441
0.27 [0.59491572 0.         0.        ]   [-0.59491572  0.          0.        ] -9.163786854672248
0.36 [0.58255195 0.         0.        ]   [-0.58255195  0.          0.        ] -9.155004685674298
0.44999999999999996 [0.56592895 0.         0.        ]   [-0.56592895  0.          0.        ] -9.198595446171339
0.5399999999999999 [0.54683963 0.         0.        ]   [-0.54683963  0.          0.        ] -9.295824241622997
0.6299999999999999 [0.52808694 0.         0.        ]   [-0.52808694  0.          0.        ] -9.394032371436262
0.7199999999999999 [0.51339917 0.         0.        ]   [-0.51339917  0.          0.        ] -9.387110128939614
0.8099999999999998 [0.50653412 0.         0.        ]   [-0.50653412  0.          0.        ] -9.243192786550692
0.8999999999999998 [0.50954509 0.         0.        ]   [-0.50954509  0.          0.        ] -9.109419219865488
0.9899999999999998 [0.52150643 0.         0.        ]   [-0.52150643  0.          0.        ] -9.120581992604267
1.0799999999999998 [0.53911563 0.         0.        ]   [-0.53911563  0.          0.        ] -9.228999251279037
1.17 [0.55846673 0.         0.        ]   [-0.55846673  0.          0.        ] -9.327320902646639
1.26 [0.57634262 0.         0.        ]   [-0.57634262  0.          0.        ] -9.36806691264973
1.35 [0.590567 0.       0.      ]   [-0.590567  0.        0.      ] -9.356174356433527
1.4400000000000002 [0.59984595 0.         0.        ]   [-0.59984595  0.          0.        ] -9.312049689733229
1.5300000000000002 [0.60350986 0.         0.        ]   [-0.60350986  0.          0.        ] -9.254385050253314
1.6200000000000003 [0.60132793 0.         0.        ]   [-0.60132793  0.          0.        ] -9.198495123916043
1.7100000000000004 [0.59343542 0.         0.        ]   [-0.59343542  0.          0.        ] -9.159970624076061
1.8000000000000005 [0.58037686 0.         0.        ]   [-0.58037686  0.          0.        ] -9.157705364983434
1.8900000000000006 [0.56326406 0.         0.        ]   [-0.56326406  0.          0.        ] -9.209819385620309
1.9800000000000006 [0.54402451 0.         0.        ]   [-0.54402451  0.          0.        ] -9.312160268120286
2.0700000000000007 [0.52561399 0.         0.        ]   [-0.52561399  0.          0.        ] -9.402030808436782
2.1600000000000006 [0.51184503 0.         0.        ]   [-0.51184503  0.          0.        ] -9.373068143211361
2.2500000000000004 [0.50634596 0.         0.        ]   [-0.50634596  0.          0.        ] -9.21838794460893
2.3400000000000003 [0.51078208 0.         0.        ]   [-0.51078208  0.          0.        ] -9.101287921914372
2.43 [0.52379978 0.         0.        ]   [-0.52379978  0.          0.        ] -9.133045628578664
2.52 [0.5418959 0.        0.       ]   [-0.5418959  0.         0.       ] -9.245797399308218
2.61 [0.56120825 0.         0.        ]   [-0.56120825  0.          0.        ] -9.337038996380766
2.6999999999999997 [0.5786666 0.        0.       ]   [-0.5786666  0.         0.       ] -9.369159984200305
2.7899999999999996 [0.59223779 0.         0.        ]   [-0.59223779  0.          0.        ] -9.351292366063408
2.8799999999999994 [0.60073352 0.         0.        ]   [-0.60073352  0.          0.        ] -9.304154783555214
